,vessel,end_port_id,begin_port_id
0,1,138,102.0
1,1,102,102.0
2,1,102,138.0
3,1,138,138.0
4,1,138,138.0
5,1,138,33.0
6,1,33,33.0
7,1,33,138.0
8,2,13,104.0
9,2,104,13.0
10,2,13,19.0
11,2,19,10.0
12,2,10,138.0
13,2,138,138.0
14,2,138,134.0
15,2,134,10.0
16,2,10,36.0
17,2,36,97.0
18,2,97,97.0
19,2,97,134.0
20,2,134,134.0
21,2,134,134.0
22,2,134,134.0
23,2,134,138.0
24,2,138,19.0
25,2,19,19.0
26,2,19,134.0
27,3,142,104.0
28,3,104,104.0
29,3,104,76.0
30,3,76,32.0
31,3,32,74.0
32,3,74,138.0
33,3,138,138.0
34,3,138,83.0
35,3,83,138.0
36,3,138,138.0
37,3,138,84.0
38,3,84,35.0
39,3,35,120.0
40,3,120,120.0
41,3,120,165.0
42,3,165,165.0
43,4,7,104.0
44,4,104,104.0
45,4,104,13.0
46,4,13,138.0
47,4,138,134.0
48,4,134,20.0
49,4,20,138.0
50,4,138,134.0
51,4,134,55.0
52,4,55,91.0
53,4,91,91.0
54,4,91,58.0
55,5,29,29.0
56,5,29,149.0
57,5,149,149.0
58,5,149,97.0
59,6,7,54.0
60,6,54,54.0
61,6,54,54.0
62,6,54,32.0
63,7,10,83.0
64,7,83,83.0
65,7,83,138.0
66,7,138,138.0
67,7,138,10.0
68,7,10,10.0
69,7,10,10.0
70,7,10,120.0
71,8,10,10.0
72,8,10,93.0
73,8,93,138.0
74,8,138,138.0
75,8,138,82.0
76,8,82,57.0
77,9,51,10.0
78,10,16,16.0
79,10,16,16.0
80,10,16,10.0
81,10,10,140.0
82,10,140,140.0
83,10,140,38.0
84,10,38,44.0
85,11,139,138.0
86,11,138,138.0
87,11,138,23.0
88,11,23,83.0
89,11,83,138.0
90,11,138,83.0
91,11,83,138.0
92,11,138,138.0
93,11,138,38.0
94,11,38,20.0
95,11,20,138.0
96,11,138,38.0
97,11,38,38.0
98,12,65,104.0
99,12,104,104.0
100,12,104,65.0
101,12,65,65.0
102,13,27,134.0
103,13,134,134.0
104,13,134,72.0
105,13,72,104.0
106,13,104,104.0
107,13,104,104.0
108,13,104,29.0
109,13,29,13.0
110,13,13,13.0
111,13,13,13.0
112,13,13,104.0
113,13,104,13.0
114,13,13,138.0
115,13,138,32.0
116,13,32,32.0
117,14,72,115.0
118,14,115,115.0
119,14,115,115.0
120,14,115,54.0
121,15,56,56.0
122,15,56,10.0
123,15,10,134.0
124,15,134,55.0
125,15,55,111.0
126,15,111,91.0
127,15,91,126.0
128,16,136,46.0
129,16,46,115.0
