vessel,begin_date,end_date,begin_port_id,end_port_id
1,2019-01-01 02:47:00,2019-01-17 04:14:00,138,102.0
1,2019-01-17 04:14:00,2019-01-17 13:56:00,102,102.0
1,2019-01-17 13:56:00,2019-02-04 07:57:00,102,138.0
1,2019-02-04 07:57:00,2019-02-05 07:45:00,138,138.0
1,2019-02-05 07:45:00,2019-02-09 07:48:00,138,138.0
1,2019-02-09 07:48:00,2019-03-01 16:54:00,138,33.0
1,2019-03-01 16:54:00,2019-03-01 22:54:00,33,33.0
1,2019-03-01 22:54:00,2019-09-16 05:17:10,33,138.0
2,2019-01-12 16:54:00,2019-01-29 16:56:00,13,104.0
2,2019-01-29 16:56:00,2019-02-13 10:57:00,104,13.0
2,2019-02-13 10:57:00,2019-03-10 03:54:00,13,19.0
2,2019-03-10 03:54:00,2019-03-15 18:53:00,19,10.0
2,2019-03-15 18:53:00,2019-04-23 13:29:35,10,138.0
2,2019-04-23 13:29:35,2019-04-23 16:29:32,138,138.0
2,2019-04-23 16:29:32,2019-05-21 20:43:12,138,134.0
2,2019-05-21 20:43:12,2019-06-19 05:41:31,134,10.0
2,2019-06-19 05:41:31,2019-07-24 17:42:34,10,36.0
2,2019-07-24 17:42:34,2019-08-08 14:36:19,36,97.0
2,2019-08-08 14:36:19,2019-08-09 02:20:15,97,97.0
2,2019-08-09 02:20:15,2019-08-26 17:06:44,97,134.0
2,2019-08-26 17:06:44,2019-08-26 23:32:48,134,134.0
2,2019-08-26 23:32:48,2019-08-27 11:24:55,134,134.0
2,2019-08-27 11:24:55,2019-08-27 13:02:55,134,134.0
2,2019-08-27 13:02:55,2019-11-10 05:31:35,134,138.0
2,2019-11-10 05:31:35,2019-11-16 18:55:36,138,19.0
2,2019-11-16 18:55:36,2019-11-18 14:33:45,19,19.0
2,2019-11-18 14:33:45,2019-11-29 17:28:17,19,134.0
3,2019-01-02 02:58:00,2019-01-23 11:54:00,142,104.0
3,2019-01-23 11:54:00,2019-01-24 22:40:00,104,104.0
3,2019-01-24 22:40:00,2019-02-15 07:47:00,104,76.0
3,2019-02-15 07:47:00,2019-03-05 19:48:00,76,32.0
3,2019-03-05 19:48:00,2019-03-18 15:58:00,32,74.0
3,2019-03-18 15:58:00,2019-05-23 08:47:57,74,138.0
3,2019-05-23 08:47:57,2019-05-23 13:31:56,138,138.0
3,2019-05-23 13:31:56,2019-05-31 10:51:22,138,83.0
3,2019-05-31 10:51:22,2019-06-05 05:52:08,83,138.0
3,2019-06-05 05:52:08,2019-06-05 11:55:14,138,138.0
3,2019-06-05 11:55:14,2019-06-24 04:23:41,138,84.0
3,2019-06-24 04:23:41,2019-08-04 04:26:09,84,35.0
3,2019-08-04 04:26:09,2019-10-01 05:53:22,35,120.0
3,2019-10-01 05:53:22,2019-10-01 08:41:33,120,120.0
3,2019-10-01 08:41:33,2019-10-16 02:52:55,120,165.0
3,2019-10-16 02:52:55,2019-10-16 16:31:02,165,165.0
4,2019-02-21 04:39:00,2019-03-10 06:00:00,7,104.0
4,2019-03-10 06:00:00,2019-03-11 12:47:00,104,104.0
4,2019-03-11 12:47:00,2019-03-27 06:41:00,104,13.0
4,2019-03-27 06:41:00,2019-04-25 01:14:55,13,138.0
4,2019-04-25 01:14:55,2019-05-14 05:19:45,138,134.0
4,2019-05-14 05:19:45,2019-06-13 04:28:07,134,20.0
4,2019-06-13 04:28:07,2019-06-25 10:31:13,20,138.0
4,2019-06-25 10:31:13,2019-07-25 07:30:21,138,134.0
4,2019-07-25 07:30:21,2019-08-07 08:33:48,134,55.0
4,2019-08-07 08:33:48,2019-10-01 18:57:29,55,91.0
4,2019-10-01 18:57:29,2019-10-02 04:18:23,91,91.0
4,2019-10-02 04:18:23,2019-11-08 09:52:37,91,58.0
5,2019-02-02 16:30:00,2019-02-03 01:51:00,29,29.0
5,2019-02-03 01:51:00,2019-03-03 13:48:00,29,149.0
5,2019-03-03 13:48:00,2019-03-03 22:52:00,149,149.0
5,2019-03-03 22:52:00,2019-07-27 16:31:01,149,97.0
6,2019-01-09 07:16:00,2019-02-13 13:59:00,7,54.0
6,2019-02-13 13:59:00,2019-02-14 19:59:00,54,54.0
6,2019-02-14 19:59:00,2019-02-16 11:55:00,54,54.0
6,2019-02-16 11:55:00,2019-03-15 15:53:00,54,32.0
7,2019-01-05 19:56:00,2019-02-16 22:27:00,10,83.0
7,2019-02-16 22:27:00,2019-02-17 03:59:00,83,83.0
7,2019-02-17 03:59:00,2019-02-23 13:59:00,83,138.0
7,2019-02-23 13:59:00,2019-02-24 10:59:00,138,138.0
7,2019-02-24 10:59:00,2019-03-09 00:59:00,138,10.0
7,2019-03-09 00:59:00,2019-03-09 07:59:00,10,10.0
7,2019-03-09 07:59:00,2019-07-21 14:40:03,10,10.0
7,2019-07-21 14:40:03,2019-11-26 18:57:24,10,120.0
8,2019-01-24 04:58:00,2019-01-26 07:58:00,10,10.0
8,2019-01-26 07:58:00,2019-02-07 12:56:00,10,93.0
8,2019-02-07 12:56:00,2019-02-15 07:44:00,93,138.0
8,2019-02-15 07:44:00,2019-02-16 13:53:00,138,138.0
8,2019-02-16 13:53:00,2019-03-07 16:15:00,138,82.0
8,2019-03-07 16:15:00,2019-09-12 03:10:05,82,57.0
9,2019-01-23 11:55:00,2019-07-25 00:33:40,51,10.0
10,2019-01-09 01:54:00,2019-01-13 01:58:00,16,16.0
10,2019-01-13 01:58:00,2019-01-14 12:57:00,16,16.0
10,2019-01-14 12:57:00,2019-02-05 01:58:00,16,10.0
10,2019-02-05 01:58:00,2019-02-15 19:38:00,10,140.0
10,2019-02-15 19:38:00,2019-02-16 07:56:00,140,140.0
10,2019-02-16 07:56:00,2019-03-29 15:59:00,140,38.0
10,2019-03-29 15:59:00,2019-10-17 08:44:01,38,44.0
11,2019-01-10 04:45:00,2019-02-14 19:46:00,139,138.0
11,2019-02-14 19:46:00,2019-04-15 01:17:44,138,138.0
11,2019-04-15 01:17:44,2019-05-11 05:33:40,138,23.0
11,2019-05-11 05:33:40,2019-06-29 08:48:57,23,83.0
11,2019-06-29 08:48:57,2019-07-07 10:29:08,83,138.0
11,2019-07-07 10:29:08,2019-07-13 07:46:02,138,83.0
11,2019-07-13 07:46:02,2019-07-17 05:54:49,83,138.0
11,2019-07-17 05:54:49,2019-07-17 13:30:44,138,138.0
11,2019-07-17 13:30:44,2019-08-22 13:29:50,138,38.0
11,2019-08-22 13:29:50,2019-10-14 07:31:10,38,20.0
11,2019-10-14 07:31:10,2019-10-27 16:29:54,20,138.0
11,2019-10-27 16:29:54,2019-11-29 02:30:33,138,38.0
11,2019-11-29 02:30:33,2019-11-29 11:30:26,38,38.0
12,2019-01-05 13:55:00,2019-01-20 07:58:00,65,104.0
12,2019-01-20 07:58:00,2019-01-20 22:43:00,104,104.0
12,2019-01-20 22:43:00,2019-02-02 04:32:00,104,65.0
12,2019-02-02 04:32:00,2019-06-25 10:33:10,65,65.0
13,2019-02-15 22:55:00,2019-03-25 10:06:00,27,134.0
13,2019-03-25 10:06:00,2019-03-25 21:37:00,134,134.0
13,2019-03-25 21:37:00,2019-05-05 15:09:19,134,72.0
13,2019-05-05 15:09:19,2019-05-20 04:30:48,72,104.0
13,2019-05-20 04:30:48,2019-05-20 08:48:56,104,104.0
13,2019-05-20 08:48:56,2019-05-20 17:44:55,104,104.0
13,2019-05-20 17:44:55,2019-06-02 14:53:24,104,29.0
13,2019-06-02 14:53:24,2019-06-30 14:41:44,29,13.0
13,2019-06-30 14:41:44,2019-07-27 14:51:28,13,13.0
13,2019-07-27 14:51:28,2019-07-28 13:15:42,13,13.0
13,2019-07-28 13:15:42,2019-08-10 04:29:40,13,104.0
13,2019-08-10 04:29:40,2019-08-25 18:43:31,104,13.0
13,2019-08-25 18:43:31,2019-10-02 11:50:34,13,138.0
13,2019-10-02 11:50:34,2019-11-13 08:28:24,138,32.0
13,2019-11-13 08:28:24,2019-11-13 18:56:32,32,32.0
14,2019-02-17 09:05:00,2019-02-25 07:50:00,72,115.0
14,2019-02-25 07:50:00,2019-03-01 10:50:00,115,115.0
14,2019-03-01 10:50:00,2019-03-09 10:11:00,115,115.0
14,2019-03-09 10:11:00,2019-03-29 09:57:00,115,54.0
15,2019-01-07 11:48:00,2019-01-08 01:44:00,56,56.0
15,2019-01-08 01:44:00,2019-01-20 16:57:00,56,10.0
15,2019-01-20 16:57:00,2019-02-08 04:49:00,10,134.0
15,2019-02-08 04:49:00,2019-02-20 10:43:00,134,55.0
15,2019-02-20 10:43:00,2019-03-18 17:38:00,55,111.0
15,2019-03-18 17:38:00,2019-08-25 04:17:40,111,91.0
15,2019-08-25 04:17:40,2019-09-16 05:16:25,91,126.0
16,2019-01-19 10:56:00,2019-02-19 04:59:00,136,46.0
16,2019-02-19 04:59:00,2019-03-27 06:46:00,46,115.0
16,2019-03-27 06:46:00,2019-08-29 18:05:26,115,55.0
17,2019-02-08 13:47:00,2019-03-09 01:51:00,11,84.0
17,2019-03-09 01:51:00,2019-03-12 19:06:00,84,37.0
17,2019-03-12 19:06:00,2019-03-19 21:31:00,37,27.0
17,2019-03-19 21:31:00,2019-09-27 20:24:56,27,7.0
17,2019-09-27 20:24:56,2019-09-28 09:54:56,7,7.0
18,2019-01-17 04:54:00,2019-01-31 07:45:00,70,32.0
18,2019-01-31 07:45:00,2019-04-09 04:20:22,32,149.0
18,2019-04-09 04:20:22,2019-04-10 01:03:58,149,149.0
18,2019-04-10 01:03:58,2019-05-14 08:53:50,149,138.0
18,2019-05-14 08:53:50,2019-05-28 01:30:15,138,138.0
18,2019-05-28 01:30:15,2019-06-19 01:29:06,138,134.0
18,2019-06-19 01:29:06,2019-06-19 04:26:05,134,134.0
18,2019-06-19 04:26:05,2019-07-14 13:16:34,134,10.0
18,2019-07-14 13:16:34,2019-07-15 01:29:02,10,10.0
18,2019-07-15 01:29:02,2019-07-15 11:04:36,10,10.0
18,2019-07-15 11:04:36,2019-08-10 14:46:50,10,10.0
18,2019-08-10 14:46:50,2019-08-26 05:38:06,10,44.0
18,2019-08-26 05:38:06,2019-09-30 08:50:01,44,165.0
18,2019-09-30 08:50:01,2019-09-30 14:43:59,165,165.0
18,2019-09-30 14:43:59,2019-10-01 08:44:01,165,165.0
18,2019-10-01 08:44:01,2019-10-02 01:28:04,165,165.0
18,2019-10-02 01:28:04,2019-10-02 15:10:03,165,165.0
18,2019-10-02 15:10:03,2019-10-02 17:32:01,165,165.0
18,2019-10-02 17:32:01,2019-10-03 12:09:05,165,165.0
18,2019-10-03 12:09:05,2019-10-05 08:06:07,165,165.0
18,2019-10-05 08:06:07,2019-11-12 08:30:39,165,58.0
18,2019-11-12 08:30:39,2019-11-12 11:27:35,58,58.0
18,2019-11-12 11:27:35,2019-11-12 14:27:37,58,58.0
18,2019-11-12 14:27:37,2019-11-25 18:56:58,58,100.0
19,2019-01-16 18:17:00,2019-02-05 16:46:00,147,35.0
19,2019-02-05 16:46:00,2019-03-19 23:32:00,35,23.0
19,2019-03-19 23:32:00,2019-04-09 18:42:32,23,147.0
19,2019-04-09 18:42:32,2019-04-09 21:49:26,147,147.0
19,2019-04-09 21:49:26,2019-05-01 02:51:59,147,45.0
19,2019-05-01 02:51:59,2019-06-14 01:15:35,45,114.0
19,2019-06-14 01:15:35,2019-07-31 01:35:49,114,35.0
19,2019-07-31 01:35:49,2019-08-17 14:41:51,35,147.0
19,2019-08-17 14:41:51,2019-09-10 17:50:20,147,23.0
19,2019-09-10 17:50:20,2019-10-21 23:42:35,23,136.0
19,2019-10-21 23:42:35,2019-11-26 05:21:57,136,56.0
20,2019-01-14 12:53:00,2019-01-29 16:55:00,91,56.0
20,2019-01-29 16:55:00,2019-02-20 07:46:00,56,115.0
20,2019-02-20 07:46:00,2019-08-28 05:49:52,115,115.0
21,2019-01-03 17:42:00,2019-03-15 03:57:00,23,138.0
21,2019-03-15 03:57:00,2019-03-27 14:59:00,138,46.0
22,2019-03-07 01:53:00,2019-03-13 02:42:00,72,72.0
22,2019-03-13 02:42:00,2019-03-29 05:00:00,72,72.0
22,2019-03-29 05:00:00,2019-03-29 13:03:42,72,72.0
22,2019-03-29 13:03:42,2019-04-01 03:22:39,72,72.0
22,2019-04-01 03:22:39,2019-04-03 02:44:49,72,72.0
22,2019-04-03 02:44:49,2019-04-05 07:24:42,72,72.0
22,2019-04-05 07:24:42,2019-04-06 00:42:40,72,72.0
22,2019-04-06 00:42:40,2019-04-06 12:35:49,72,72.0
22,2019-04-06 12:35:49,2019-04-20 08:33:44,72,72.0
22,2019-04-20 08:33:44,2019-04-20 13:20:42,72,72.0
